Artist;Album;AlbumId;Track;Date#fadgad
"Legacy";"Crown Ruler Sound (Compiled by Jeremy Spellacey)";"";"Monday Blues";"1533497829000"
"Seb Wildblood";"Jazz Vol. 1 EP";"";"Jazz Vol.1";"1533498313000"
"Larry Maluma";"Crown Ruler Sound (Compiled by Jeremy Spellacey)";"";"Kamusale";"1533502375000"
"Brother Resistance";"Crown Ruler Sound (Compiled by Jeremy Spellacey)";"";"Can I Get A Witness";"1533502651000"
"Legacy";"Crown Ruler Sound (Compiled by Jeremy Spellacey)";"";"Monday Blues";"1533503021000"
"Legacy";"Crown Ruler Sound (Compiled by Jeremy Spellacey)";"";"Monday Blues";"1533503504000"
"Huaira";"Ñuka Shunku";"";"Ochiemay";"1533503724000"
"Shlohmo";"Bad Vibes";"2ab5762a-b4b4-4d74-b0c1-881269c3ef8f";"Seriously";"1533504062000"
"Corina Lawrence";"Alborada";"61b3c4e7-c466-4c55-83bd-164f80312272";"La Descarriá - Uji Remix";"1533504370000"
"Shlohmo";"Bad Vibes";"2ab5762a-b4b4-4d74-b0c1-881269c3ef8f";"Seriously";"1533504370000"
"TCP";"Tropical Drums of Deutschland";"525f7f42-f775-4951-bb57-2e0b7005b327";"At The Water-Hole - Wolf Müller Edit";"1533504797000"
"KOKOKO!";"Tokoliana EP";"";"Tokoliana";"1533505050000"
"Ross From Friends";"Project Cybersyn";"";"Project Cybersyn";"1533505740000"
"Medlar";"Shake It, Make It, Take It, Break It";"d26ab9db-e66c-4826-b56a-b997dd605067";"Shake It - Mytron & Ofofo Remix";"1533506199000"
"Kenny Burrell";"Blues - The Common Ground";"";"Everydays";"1533539676000"
"Kenny Burrell";"Blues - The Common Ground";"";"Every Day I Have The Blues";"1533539878000"
"Kenny Burrell";"Blues - The Common Ground";"";"The Preacher";"1533540079000"
"Kenny Burrell";"Blues - The Common Ground";"";"Angel Eyes";"1533540260000"
"Kenny Burrell";"Blues - The Common Ground";"";"The Common Ground";"1533540503000"
"Kenny Burrell";"Blues - The Common Ground";"";"Were You There?";"1533540676000"
"Kenny Burrell";"Blues - The Common Ground";"";"Burning Spear";"1533540753000"
"Kenny Burrell";"Blues - The Common Ground";"";"Wonder Why";"1533540921000"
"Kenny Burrell";"Blues - The Common Ground";"";"Soulful Brothers";"1533541161000"
"Kenny Burrell";"Blues - The Common Ground";"";"See See Rider";"1533541499000"
"Kenny Burrell";"Blues - The Common Ground";"";"Sausalito Nights";"1533541711000"
